Type,Datum,Tagesertrag,Einsparung,Netzeinspeisung,Eigenverbrauch Elektrolyseur,Eigenverbrauch Batterie,Produktionsrate,Wassernutzung,Energieverbrauch,EL-Tank,EL-Tank2,SoC,Leistung,Reichweite Elektroautos
PV-Anlage,15.02.2024 03:00:00,55.34,1084,37.8,12.34,5.2,976.12,1431.94,17.91,56,870,52,686.76,247.98
PV-Anlage,15.02.2024 04:00:00,42.79,1085,10.84,4.63,27.32,208.15,3138.99,83.65,86,919,59,-1761.96,179.5
PV-Anlage,15.02.2024 05:00:00,4.6,1086,1.35,0.52,2.73,1189.9,3596.79,8.63,43,66,15,-1986.7,445.74
PV-Anlage,15.02.2024 06:00:00,95.75,1087,30.45,21.6,43.7,1755.83,2785.84,91.1,63,823,41,-1859.1,288.34
PV-Anlage,15.02.2024 07:00:00,34.15,1088,9.4,7.5,17.25,397.03,2497.8,10.43,2,47,43,-755.33,439.3
PV-Anlage,15.02.2024 08:00:00,69.24,1089,53.31,4.99,10.94,496.51,3157.78,63.71,67,86,16,1627.46,408.17
PV-Anlage,15.02.2024 09:00:00,35.14,1090,23.82,7.65,3.67,1937.54,835.93,91.02,38,359,31,-1897.19,57.14
PV-Anlage,15.02.2024 10:00:00,94.02,1091,85.83,2.88,5.31,1697.23,3194.29,92.3,42,750,13,-304.51,433.57
PV-Anlage,15.02.2024 11:00:00,65.38,1092,19.1,39.97,6.31,0.06,978.18,84.72,24,602,66,471.42,309.94
PV-Anlage,15.02.2024 12:00:00,34.85,1093,17.32,8.75,8.78,335.2,3019.47,21.63,83,220,6,-819.46,228.76
PV-Anlage,15.02.2024 13:00:00,25.67,1094,15.59,4.31,5.77,1217.48,1326.74,65.71,94,518,20,-348.06,70.02
PV-Anlage,15.02.2024 14:00:00,39.27,1095,27.15,1.78,10.34,677.02,2059.27,30.3,31,318,99,1784.4,264.68
PV-Anlage,15.02.2024 15:00:00,89.23,1096,84.05,1.72,3.46,100.92,572.18,22.34,67,122,25,-1828.18,443.94
PV-Anlage,15.02.2024 16:00:00,35.54,1097,3.73,17.47,14.34,234.73,3726.06,42.4,37,518,36,-1816.7,68.03
PV-Anlage,15.02.2024 17:00:00,66.03,1098,15.33,25.98,24.72,737.07,3396.6,75.11,11,337,11,1638.16,129.22
PV-Anlage,15.02.2024 18:00:00,62.72,1099,49.35,13.37,-0.0,816.32,718.86,96.57,14,593,62,-1838.84,428.12
PV-Anlage,15.02.2024 19:00:00,11.65,1100,5.5,4.06,2.09,198.31,3980.52,9.11,77,709,46,1286.34,157.12
PV-Anlage,15.02.2024 20:00:00,78.54,1101,37.33,13.82,27.39,772.62,2588.24,33.97,85,631,95,-944.05,353.9
PV-Anlage,15.02.2024 21:00:00,22.18,1102,16.63,3.42,2.13,473.28,8.38,95.01,35,501,7,-421.42,87.52
PV-Anlage,15.02.2024 22:00:00,20.06,1103,7.04,12.31,0.71,1189.26,3100.31,7.96,1,205,77,-1089.33,117.25
PV-Anlage,15.02.2024 23:00:00,78.95,1104,52.35,21.05,5.55,1174.69,655.96,84.34,28,828,5,-988.31,410.03
PV-Anlage,16.02.2024 00:00:00,61.38,1105,59.53,0.43,1.42,1239.47,3023.78,89.39,56,520,93,1480.57,56.23
PV-Anlage,16.02.2024 01:00:00,58.93,1106,26.7,7.45,24.78,1289.94,950.92,91.87,73,129,15,-951.02,158.23
PV-Anlage,16.02.2024 02:00:00,62.83,1107,54.44,8.15,0.24,1797.26,899.75,57.08,76,294,9,-1646.04,313.14
PV-Anlage,16.02.2024 03:00:00,37.5,1108,23.49,13.96,0.05,1626.07,3376.59,5.82,83,959,31,-1809.09,387.19
PV-Anlage,16.02.2024 04:00:00,42.89,1109,39.99,0.52,2.38,704.27,368.41,93.06,78,260,55,-752.45,104.27
PV-Anlage,16.02.2024 05:00:00,97.04,1110,50.53,31.31,15.2,242.96,3495.99,37.48,33,137,91,1423.67,290.34
PV-Anlage,16.02.2024 06:00:00,99.98,1111,41.11,31.06,27.81,559.64,624.36,84.67,45,228,90,448.27,303.59
PV-Anlage,16.02.2024 07:00:00,47.62,1112,20.66,21.77,5.19,1287.34,368.17,75.72,44,809,69,1408.66,84.79
PV-Anlage,16.02.2024 08:00:00,69.04,1113,29.33,21.91,17.8,489.09,1185.45,36.2,99,57,58,-951.64,307.57
PV-Anlage,16.02.2024 09:00:00,42.77,1114,11.51,12.08,19.18,239.05,962.86,74.59,56,286,23,158.78,392.03
PV-Anlage,16.02.2024 10:00:00,15.59,1115,3.13,8.29,4.17,1475.29,1567.55,72.78,50,435,41,-1285.31,493.42
PV-Anlage,16.02.2024 11:00:00,46.3,1116,9.33,8.62,28.35,1924.78,1165.28,63.2,100,508,6,-45.81,271.85
PV-Anlage,16.02.2024 12:00:00,34.49,1117,2.24,27.35,4.9,1104.44,66.93,93.21,85,867,12,-511.33,174.31
PV-Anlage,16.02.2024 13:00:00,61.67,1118,19.67,9.88,32.12,1681.53,1175.84,80.31,75,269,37,1769.62,132.37
PV-Anlage,16.02.2024 14:00:00,15.36,1119,2.7,3.34,9.32,1328.74,1818.46,58.35,55,856,1,-1162.56,269.76
PV-Anlage,16.02.2024 15:00:00,64.79,1120,55.18,9.41,0.2,1930.35,3214.79,42.77,3,824,43,-1406.27,419.25
PV-Anlage,16.02.2024 16:00:00,96.78,1121,23.54,31.59,41.65,138.54,3561.23,20.52,27,246,83,-864.56,410.89
PV-Anlage,16.02.2024 17:00:00,44.63,1122,13.96,20.44,10.23,780.01,2723.43,46.4,59,642,36,-1617.76,306.91
PV-Anlage,16.02.2024 18:00:00,46.45,1123,7.34,6.23,32.88,1099.92,1765.39,36.51,74,595,44,-1744.75,398.35
PV-Anlage,16.02.2024 19:00:00,72.37,1124,32.1,35.08,5.19,827.03,321.07,49.85,47,940,46,1602.96,489.43
PV-Anlage,16.02.2024 20:00:00,3.53,1125,3.36,0.11,0.06,584.97,3196.73,60.2,27,430,11,1633.22,413.73
PV-Anlage,16.02.2024 21:00:00,12.26,1126,3.33,3.5,5.43,1969.21,778.27,88.78,33,297,93,-945.5,182.86
PV-Anlage,16.02.2024 22:00:00,54.64,1127,9.42,6.55,38.67,1691.06,261.65,55.36,23,237,74,-880.95,276.71
PV-Anlage,16.02.2024 23:00:00,21.0,1128,8.88,9.88,2.24,1242.55,501.84,15.51,98,416,7,-340.36,256.59
PV-Anlage,17.02.2024 00:00:00,23.31,1129,16.32,5.49,1.5,834.26,3821.72,43.84,1,652,73,-570.71,218.09
PV-Anlage,17.02.2024 01:00:00,49.15,1130,28.61,18.72,1.82,911.84,1574.22,49.35,60,903,46,-1368.37,223.71
PV-Anlage,17.02.2024 02:00:00,80.99,1131,14.89,26.27,39.83,1498.7,22.18,58.33,57,374,65,-1404.52,294.3
PV-Anlage,17.02.2024 03:00:00,74.16,1132,38.1,20.12,15.94,1011.22,373.96,7.95,89,572,19,698.79,226.26
PV-Anlage,17.02.2024 04:00:00,16.72,1133,6.61,2.51,7.6,1050.43,3295.9,40.01,24,476,40,503.76,196.19
PV-Anlage,17.02.2024 05:00:00,42.58,1134,40.95,0.68,0.95,1715.32,2602.22,32.84,37,273,1,1631.68,108.41
PV-Anlage,17.02.2024 06:00:00,75.3,1135,39.67,4.55,31.08,533.42,1320.02,17.41,30,647,34,1129.78,381.17
PV-Anlage,17.02.2024 07:00:00,41.26,1136,8.85,23.82,8.59,1720.07,744.81,98.31,83,256,34,-1071.98,467.06
PV-Anlage,17.02.2024 08:00:00,14.9,1137,14.89,0.0,0.01,719.82,274.3,35.72,62,90,75,-1892.44,418.63
PV-Anlage,17.02.2024 09:00:00,10.64,1138,0.34,7.6,2.7,839.57,785.25,35.94,71,1000,82,1980.1,298.67
PV-Anlage,17.02.2024 10:00:00,17.7,1139,16.05,0.56,1.09,1561.61,419.59,99.85,65,745,57,1618.72,352.51
PV-Anlage,17.02.2024 11:00:00,22.05,1140,2.61,9.56,9.88,1735.32,2565.18,79.38,58,656,77,-1326.29,473.4
PV-Anlage,17.02.2024 12:00:00,13.11,1141,0.36,1.5,11.25,230.53,1802.41,44.92,27,621,84,1288.24,202.02
PV-Anlage,17.02.2024 13:00:00,36.7,1142,18.32,9.41,8.97,1796.49,2511.99,80.29,1,644,82,-1889.17,428.26
PV-Anlage,17.02.2024 14:00:00,2.79,1143,0.88,0.27,1.64,1424.77,1054.75,25.16,19,265,63,-1285.49,382.52
PV-Anlage,17.02.2024 15:00:00,77.31,1144,65.71,2.02,9.58,1790.61,3899.94,68.21,75,363,6,1299.12,363.41
PV-Anlage,17.02.2024 16:00:00,2.99,1145,1.64,0.31,1.04,854.06,2158.96,82.14,40,89,25,784.28,402.62
PV-Anlage,17.02.2024 17:00:00,40.21,1146,17.0,9.22,13.99,1349.06,3351.39,17.1,6,422,11,-791.86,155.57
PV-Anlage,17.02.2024 18:00:00,31.23,1147,19.92,9.34,1.97,186.58,1364.88,28.6,25,923,20,-972.46,358.75
PV-Anlage,17.02.2024 19:00:00,1.55,1148,1.16,0.14,0.25,1983.96,2161.95,63.72,84,918,5,-517.56,256.12
PV-Anlage,17.02.2024 20:00:00,95.68,1149,81.92,9.58,4.18,1938.64,3660.88,69.92,37,319,25,-1461.58,345.74
PV-Anlage,17.02.2024 21:00:00,27.01,1150,4.07,9.61,13.33,1763.34,2210.63,16.56,38,224,97,575.81,153.1
PV-Anlage,17.02.2024 22:00:00,55.13,1151,30.48,8.21,16.44,418.58,2089.58,18.32,38,126,3,643.15,219.57
PV-Anlage,17.02.2024 23:00:00,22.26,1152,6.22,7.97,8.07,74.42,3384.52,48.74,26,465,51,-320.8,279.78
PV-Anlage,18.02.2024 00:00:00,31.38,1153,29.85,0.04,1.49,1533.12,2372.17,26.26,46,71,36,-1166.67,354.82
PV-Anlage,18.02.2024 01:00:00,4.66,1154,0.84,0.4,3.42,1850.76,681.52,46.62,28,543,79,-1087.85,201.61
PV-Anlage,18.02.2024 02:00:00,26.46,1155,9.78,15.67,1.01,1120.13,567.05,72.81,4,445,82,341.73,448.72
PV-Anlage,18.02.2024 03:00:00,14.66,1156,12.28,0.89,1.49,1563.04,1759.6,75.09,96,724,85,243.51,371.31
PV-Anlage,18.02.2024 04:00:00,22.98,1157,5.02,7.77,10.19,72.4,3585.22,82.55,32,263,68,941.2,188.43
PV-Anlage,18.02.2024 05:00:00,49.38,1158,44.73,4.49,0.16,605.44,3743.39,27.85,66,830,86,307.64,92.94
PV-Anlage,18.02.2024 06:00:00,73.3,1159,24.52,28.07,20.71,51.92,1864.23,8.55,54,649,67,-1069.94,361.69
PV-Anlage,18.02.2024 07:00:00,64.06,1160,38.71,7.26,18.09,415.04,2114.43,29.0,93,343,48,1366.95,434.06
PV-Anlage,18.02.2024 08:00:00,60.27,1161,51.23,3.07,5.97,160.09,550.38,47.8,73,87,92,-1735.47,297.78
PV-Anlage,18.02.2024 09:00:00,23.54,1162,11.4,0.07,12.07,631.12,3466.52,46.59,45,20,39,-1563.34,395.52
PV-Anlage,18.02.2024 10:00:00,76.47,1163,7.75,41.48,27.24,599.07,3444.76,43.21,71,190,52,1185.29,288.22
PV-Anlage,18.02.2024 11:00:00,58.84,1164,9.29,29.95,19.6,909.29,40.39,20.23,14,612,42,1109.08,489.9
PV-Anlage,18.02.2024 12:00:00,39.11,1165,22.09,16.82,0.2,1893.95,3304.16,61.43,63,875,63,892.82,425.09
PV-Anlage,18.02.2024 13:00:00,33.5,1166,7.14,9.25,17.11,1974.11,2029.33,59.71,81,826,93,803.21,280.42
PV-Anlage,18.02.2024 14:00:00,54.98,1167,21.3,17.11,16.57,661.43,2712.75,11.36,51,757,58,-1696.15,251.69
PV-Anlage,18.02.2024 15:00:00,33.65,1168,7.13,13.73,12.79,1341.0,1177.68,78.29,19,463,94,750.72,371.28
PV-Anlage,18.02.2024 16:00:00,73.38,1169,58.41,3.45,11.52,1985.27,3802.74,79.55,27,859,99,-1787.76,119.33
PV-Anlage,18.02.2024 17:00:00,90.12,1170,6.86,18.63,64.63,749.56,193.98,31.56,77,242,42,1697.87,440.52
PV-Anlage,18.02.2024 18:00:00,48.1,1171,25.06,20.26,2.78,844.48,3693.14,56.87,62,622,94,576.8,424.84
PV-Anlage,18.02.2024 19:00:00,65.45,1172,37.27,28.05,0.13,167.66,3383.68,96.8,54,906,64,1054.71,463.55
PV-Anlage,18.02.2024 20:00:00,3.21,1173,2.09,0.71,0.41,1317.13,745.53,64.33,22,484,58,1723.38,139.78
PV-Anlage,18.02.2024 21:00:00,75.19,1174,21.64,24.96,28.59,159.07,3901.29,71.84,22,470,77,-1424.08,229.04
PV-Anlage,18.02.2024 22:00:00,39.44,1175,7.71,0.72,31.01,821.27,3748.97,10.99,10,968,87,370.16,244.45
PV-Anlage,18.02.2024 23:00:00,49.11,1176,2.47,9.77,36.87,617.68,1125.52,55.1,37,781,13,740.32,173.34
PV-Anlage,19.02.2024 00:00:00,37.91,1177,15.54,11.09,11.28,498.98,1718.6,91.72,12,424,47,938.63,87.52
PV-Anlage,19.02.2024 01:00:00,63.86,1178,44.43,15.3,4.13,590.65,2562.69,44.23,3,784,29,1796.95,385.77
PV-Anlage,19.02.2024 02:00:00,9.32,1179,0.85,6.34,2.13,1156.13,2618.78,57.82,35,598,63,-164.19,456.03
PV-Anlage,19.02.2024 03:00:00,50.84,1180,47.33,1.64,1.87,605.12,3143.07,55.21,83,226,62,1926.39,87.16
PV-Anlage,19.02.2024 04:00:00,92.6,1181,17.15,3.0,72.45,905.85,250.71,26.72,32,392,12,510.51,405.08
PV-Anlage,19.02.2024 05:00:00,87.69,1182,33.2,49.87,4.62,1767.69,3734.77,12.54,30,795,14,1057.72,183.59
PV-Anlage,19.02.2024 06:00:00,75.7,1183,10.63,57.74,7.33,1176.25,2554.99,74.86,91,809,26,1925.89,88.86
PV-Anlage,19.02.2024 07:00:00,37.21,1184,37.2,0.0,0.01,145.67,3931.59,51.49,24,734,69,-1270.0,441.61
PV-Anlage,19.02.2024 08:00:00,75.2,1185,37.77,23.57,13.86,1848.14,931.59,56.53,65,649,30,1167.95,347.59
PV-Anlage,19.02.2024 09:00:00,68.55,1186,13.24,33.11,22.2,1904.33,657.69,27.84,25,102,57,-1085.21,74.11
PV-Anlage,19.02.2024 10:00:00,91.37,1187,20.59,26.33,44.45,1324.43,3767.66,76.81,42,178,70,-731.53,471.88
PV-Anlage,19.02.2024 11:00:00,25.84,1188,21.15,0.74,3.95,38.31,1479.08,32.12,77,158,37,867.01,289.35
PV-Anlage,19.02.2024 12:00:00,34.77,1189,9.82,23.85,1.1,1976.12,3225.38,9.56,88,485,5,696.3,407.88
PV-Anlage,19.02.2024 13:00:00,33.14,1190,9.85,9.57,13.72,1397.34,3240.24,84.99,56,318,94,-1179.47,495.15
PV-Anlage,19.02.2024 14:00:00,39.1,1191,21.88,14.4,2.82,847.51,893.54,90.44,78,596,18,-1177.39,137.41
PV-Anlage,19.02.2024 15:00:00,56.1,1192,4.15,13.95,38.0,338.59,3757.8,45.24,0,871,22,1486.06,160.1
PV-Anlage,19.02.2024 16:00:00,33.98,1193,10.84,8.27,14.87,1552.52,13.82,72.34,34,650,42,-160.35,371.78
PV-Anlage,19.02.2024 17:00:00,70.11,1194,39.4,1.44,29.27,1781.99,1936.72,12.96,58,653,71,1149.77,292.52
PV-Anlage,19.02.2024 18:00:00,34.29,1195,16.28,4.56,13.45,1311.91,3403.11,60.98,70,725,50,-1206.13,385.01
PV-Anlage,19.02.2024 19:00:00,5.36,1196,3.8,1.14,0.42,142.51,264.68,3.06,50,184,36,770.44,384.71
PV-Anlage,19.02.2024 20:00:00,74.94,1197,67.41,5.63,1.9,1026.87,2744.13,72.86,70,604,74,-325.06,380.75
PV-Anlage,19.02.2024 21:00:00,99.89,1198,47.97,15.21,36.71,1372.92,2227.88,70.35,41,363,100,1941.62,52.36
PV-Anlage,19.02.2024 22:00:00,75.89,1199,11.48,47.73,16.68,688.49,3818.14,52.46,17,328,4,-1492.18,78.45
PV-Anlage,19.02.2024 23:00:00,6.57,1200,3.37,2.77,0.43,1629.03,1587.21,51.63,24,768,10,-894.75,345.41
PV-Anlage,20.02.2024 00:00:00,4.23,1201,3.18,0.13,0.92,300.69,637.36,98.15,98,340,88,-943.96,253.76
PV-Anlage,20.02.2024 01:00:00,74.4,1202,69.77,3.85,0.78,452.18,3874.77,17.79,62,788,70,521.64,71.91
PV-Anlage,20.02.2024 02:00:00,63.36,1203,47.18,3.55,12.63,1256.98,2687.86,84.68,48,391,25,-449.11,282.88
PV-Anlage,20.02.2024 03:00:00,66.81,1204,41.88,6.7,18.23,1637.05,169.76,79.64,81,248,24,1966.84,418.09
PV-Anlage,20.02.2024 04:00:00,32.65,1205,24.3,6.9,1.45,412.27,2477.38,16.71,15,580,22,-1576.22,118.48
PV-Anlage,20.02.2024 05:00:00,17.77,1206,2.54,5.64,9.59,1763.17,3887.52,9.52,78,643,26,593.53,308.23
PV-Anlage,20.02.2024 06:00:00,78.66,1207,71.92,5.19,1.55,541.22,3641.38,52.49,73,718,56,690.3,77.82
PV-Anlage,20.02.2024 07:00:00,72.85,1208,23.84,29.69,19.32,1209.89,2232.1,77.62,50,687,69,216.82,385.79
PV-Anlage,20.02.2024 08:00:00,53.59,1209,19.58,23.3,10.71,955.65,3512.06,93.33,42,159,24,-1057.62,301.2
PV-Anlage,20.02.2024 09:00:00,34.77,1210,14.97,17.79,2.01,898.66,427.7,24.28,78,82,27,605.76,76.64
PV-Anlage,20.02.2024 10:00:00,50.03,1211,44.83,1.69,3.51,1903.41,3192.07,86.78,77,150,61,1416.53,261.29
PV-Anlage,20.02.2024 11:00:00,40.31,1212,3.53,9.1,27.68,855.56,2988.43,93.26,80,502,98,-1226.57,134.37
PV-Anlage,20.02.2024 12:00:00,77.53,1213,35.9,38.16,3.47,680.27,3250.15,26.72,11,223,42,1371.67,75.0
PV-Anlage,20.02.2024 13:00:00,63.1,1214,22.2,5.36,35.54,1249.09,2771.48,51.55,56,295,51,1248.39,291.38
PV-Anlage,20.02.2024 14:00:00,47.95,1215,28.43,19.14,0.38,876.25,3903.03,92.53,46,44,76,11.26,105.57
PV-Anlage,20.02.2024 15:00:00,22.0,1216,13.68,6.51,1.81,292.39,3440.02,93.99,34,428,38,431.59,341.16
PV-Anlage,20.02.2024 16:00:00,41.62,1217,25.03,8.37,8.22,491.76,201.46,73.86,19,846,58,1361.36,363.2
PV-Anlage,20.02.2024 17:00:00,29.45,1218,11.22,15.3,2.93,187.14,487.67,99.25,44,945,33,503.47,336.98
PV-Anlage,20.02.2024 18:00:00,69.75,1219,14.78,9.33,45.64,1974.79,1030.75,84.19,26,43,55,-1676.8,480.95
PV-Anlage,20.02.2024 19:00:00,18.72,1220,1.63,2.14,14.95,895.69,25.59,52.54,33,340,83,634.87,200.33
PV-Anlage,20.02.2024 20:00:00,57.67,1221,14.7,29.38,13.59,89.68,2948.78,86.75,37,106,33,748.18,397.05
PV-Anlage,20.02.2024 21:00:00,20.85,1222,8.53,2.57,9.75,1968.77,2105.59,31.89,38,803,25,259.03,446.74
PV-Anlage,20.02.2024 22:00:00,52.74,1223,42.05,7.9,2.79,1168.88,3700.8,29.52,21,349,18,-364.82,170.31
PV-Anlage,20.02.2024 23:00:00,41.72,1224,24.0,17.21,0.51,915.27,636.86,69.7,53,415,18,-1319.51,308.48
PV-Anlage,21.02.2024 00:00:00,5.83,1225,4.41,0.26,1.16,516.19,275.06,23.39,52,42,89,-483.26,287.08
PV-Anlage,21.02.2024 01:00:00,65.52,1226,26.44,34.31,4.77,427.54,3197.61,95.0,93,841,40,-581.19,198.72
PV-Anlage,21.02.2024 02:00:00,61.05,1227,44.27,8.45,8.33,1773.05,1308.08,62.71,23,173,5,97.4,317.74
PV-Anlage,21.02.2024 03:00:00,90.46,1228,54.81,16.86,18.79,981.2,2688.24,34.76,73,313,16,-53.7,65.43
PV-Anlage,21.02.2024 04:00:00,79.33,1229,67.37,3.81,8.15,1139.76,2683.76,89.16,90,244,47,1738.08,189.33
PV-Anlage,21.02.2024 05:00:00,89.33,1230,3.9,10.34,75.09,665.16,3753.67,7.61,35,709,17,280.92,372.97
PV-Anlage,21.02.2024 06:00:00,42.47,1231,32.88,5.75,3.84,106.21,618.57,8.75,39,986,2,1686.14,480.16
PV-Anlage,21.02.2024 07:00:00,59.67,1232,9.08,1.41,49.18,1893.13,915.58,72.0,61,15,81,1819.37,383.42
PV-Anlage,21.02.2024 08:00:00,3.06,1233,0.98,0.88,1.2,859.34,2817.17,81.11,23,746,46,-1117.91,377.4
PV-Anlage,21.02.2024 09:00:00,16.43,1234,7.91,8.17,0.35,1751.24,34.41,64.38,38,402,29,-1672.6,279.17
PV-Anlage,21.02.2024 10:00:00,92.47,1235,3.01,49.21,40.25,188.76,160.5,22.4,39,75,71,-1879.75,324.03
PV-Anlage,21.02.2024 11:00:00,74.54,1236,62.1,7.52,4.92,525.46,1898.41,90.06,39,977,85,-768.52,84.48
PV-Anlage,21.02.2024 12:00:00,6.0,1237,1.94,1.65,2.41,988.83,243.61,59.97,65,807,3,-410.94,227.25
PV-Anlage,21.02.2024 13:00:00,37.91,1238,18.03,13.19,6.69,1244.06,63.41,4.41,46,717,6,-1743.07,472.1
PV-Anlage,21.02.2024 14:00:00,57.99,1239,29.37,5.9,22.72,1458.67,669.24,83.09,50,337,61,-1336.63,382.47
PV-Anlage,21.02.2024 15:00:00,42.2,1240,15.41,11.75,15.04,1998.72,3127.85,71.58,91,674,57,1162.61,90.69
PV-Anlage,21.02.2024 16:00:00,79.41,1241,55.86,17.66,5.89,104.09,2954.58,70.91,8,257,94,-1783.16,456.1
PV-Anlage,21.02.2024 17:00:00,78.54,1242,43.86,11.11,23.57,1881.01,1008.12,37.78,70,194,92,-380.58,141.82
PV-Anlage,21.02.2024 18:00:00,29.38,1243,9.15,8.77,11.46,253.94,1407.34,35.32,51,127,67,-1397.45,118.2
PV-Anlage,21.02.2024 19:00:00,73.89,1244,31.78,11.39,30.72,1443.33,3637.92,91.65,56,522,38,-819.65,426.0
PV-Anlage,21.02.2024 20:00:00,25.53,1245,14.89,2.42,8.22,31.36,3282.65,99.41,13,834,80,429.8,235.95
PV-Anlage,21.02.2024 21:00:00,85.01,1246,36.5,45.44,3.07,1499.59,2451.03,34.76,43,872,94,-1345.65,51.87
PV-Anlage,21.02.2024 22:00:00,35.27,1247,8.92,19.46,6.89,1387.99,1670.71,62.76,10,204,66,433.6,102.1
PV-Anlage,21.02.2024 23:00:00,60.55,1248,47.85,10.14,2.56,1303.01,2791.39,64.44,90,464,92,303.09,209.96
PV-Anlage,22.02.2024 00:00:00,58.44,1249,22.48,7.58,28.38,402.16,456.92,36.19,27,625,97,692.54,114.16
PV-Anlage,22.02.2024 01:00:00,77.42,1250,33.12,42.02,2.28,1523.0,3726.07,38.3,34,794,94,306.25,329.91
PV-Anlage,22.02.2024 02:00:00,65.72,1251,29.47,8.84,27.41,1577.34,2653.04,56.41,82,970,85,-779.7,121.01
PV-Anlage,22.02.2024 03:00:00,91.2,1252,14.42,21.89,54.89,1520.53,2481.7,47.62,59,164,93,-103.07,145.37
PV-Anlage,22.02.2024 04:00:00,38.0,1253,3.66,25.86,8.48,1781.94,2335.33,19.28,47,727,21,-1767.02,253.89
PV-Anlage,22.02.2024 05:00:00,36.58,1254,18.64,12.88,5.06,682.73,3282.95,94.2,22,983,97,1447.55,114.08
PV-Anlage,22.02.2024 06:00:00,58.23,1255,29.31,26.16,2.76,529.37,304.67,62.46,25,37,16,1777.82,460.29
PV-Anlage,22.02.2024 07:00:00,84.99,1256,11.41,64.56,9.02,1785.43,3003.95,63.49,1,677,54,-1177.04,63.59
PV-Anlage,22.02.2024 08:00:00,56.01,1257,9.1,33.66,13.25,159.86,184.21,67.61,58,958,0,-1711.49,334.23
PV-Anlage,22.02.2024 09:00:00,53.82,1258,51.66,1.19,0.97,1974.5,1266.14,13.78,95,517,38,260.83,359.69
PV-Anlage,22.02.2024 10:00:00,65.06,1259,39.12,19.3,6.64,1078.13,3867.99,12.04,36,36,13,646.16,164.84
PV-Anlage,22.02.2024 11:00:00,65.01,1260,53.21,10.9,0.9,1006.26,3377.81,63.38,2,9,65,1151.31,119.81
PV-Anlage,22.02.2024 12:00:00,14.15,1261,5.77,2.8,5.58,1672.72,578.35,99.16,81,945,74,980.68,469.32
PV-Anlage,22.02.2024 13:00:00,44.34,1262,4.87,38.62,0.85,199.83,376.06,94.96,80,705,50,-682.17,270.73
PV-Anlage,22.02.2024 14:00:00,51.2,1263,36.32,7.99,6.89,836.95,3159.75,11.9,2,134,81,-1692.83,269.55
PV-Anlage,22.02.2024 15:00:00,86.87,1264,46.68,21.96,18.23,1756.96,155.95,9.96,89,146,19,25.73,180.63
PV-Anlage,22.02.2024 16:00:00,89.44,1265,59.59,21.71,8.14,39.09,2513.09,30.07,12,138,59,-365.26,148.68
PV-Anlage,22.02.2024 17:00:00,20.96,1266,6.75,4.2,10.01,1292.41,728.07,35.96,4,451,69,491.2,249.4
PV-Anlage,22.02.2024 18:00:00,9.82,1267,3.18,1.29,5.35,434.98,2513.42,92.73,90,530,28,824.65,410.47
PV-Anlage,22.02.2024 19:00:00,24.02,1268,3.79,10.61,9.62,802.38,197.97,31.29,77,59,84,-1055.62,165.4
PV-Anlage,22.02.2024 20:00:00,96.5,1269,4.73,30.01,61.76,896.94,2626.88,33.81,73,689,20,1192.56,443.35
PV-Anlage,22.02.2024 21:00:00,29.92,1270,2.45,20.75,6.72,1373.05,3482.73,42.59,96,24,18,1453.92,182.82
PV-Anlage,22.02.2024 22:00:00,2.73,1271,0.97,0.68,1.08,893.13,2111.02,71.18,74,849,57,83.19,131.81
PV-Anlage,22.02.2024 23:00:00,40.36,1272,12.27,3.06,25.03,406.31,1797.43,78.66,100,869,48,-450.88,236.73
PV-Anlage,23.02.2024 00:00:00,32.64,1273,19.81,1.77,11.06,537.59,2036.44,26.19,71,262,1,-1453.45,102.03
PV-Anlage,23.02.2024 01:00:00,50.66,1274,34.42,0.68,15.56,360.83,3511.65,61.12,46,92,2,1420.24,261.67
PV-Anlage,23.02.2024 02:00:00,68.18,1275,51.73,0.86,15.59,1642.48,2899.36,45.95,67,392,93,-623.26,326.93
PV-Anlage,23.02.2024 03:00:00,7.35,1276,5.52,1.79,0.04,684.53,1891.19,95.28,40,374,19,-815.78,89.64
PV-Anlage,23.02.2024 04:00:00,66.54,1277,8.54,30.15,27.85,527.1,2822.07,76.92,98,786,16,631.23,443.64
PV-Anlage,23.02.2024 05:00:00,38.46,1278,7.15,16.84,14.47,1569.88,2042.03,75.46,93,254,94,1494.96,270.77
PV-Anlage,23.02.2024 06:00:00,43.32,1279,35.63,3.11,4.58,1775.68,1351.49,22.39,37,542,97,739.47,137.63
PV-Anlage,23.02.2024 07:00:00,5.54,1280,0.43,3.76,1.35,1879.64,3906.1,16.68,10,24,38,890.68,364.57
PV-Anlage,23.02.2024 08:00:00,56.42,1281,21.47,20.26,14.69,1927.63,1070.48,48.79,69,424,36,369.06,498.46
PV-Anlage,23.02.2024 09:00:00,29.54,1282,15.83,2.6,11.11,254.21,1476.07,85.55,31,92,43,-1562.42,372.41
PV-Anlage,23.02.2024 10:00:00,47.75,1283,39.66,3.49,4.6,1781.6,474.7,15.95,85,683,38,934.04,412.86
PV-Anlage,23.02.2024 11:00:00,11.03,1284,1.74,0.74,8.55,297.73,2579.68,86.01,48,317,33,1335.83,469.88
PV-Anlage,23.02.2024 12:00:00,99.05,1285,92.69,0.3,6.06,400.92,3222.52,16.31,87,752,89,912.23,188.25
PV-Anlage,23.02.2024 13:00:00,49.46,1286,36.14,6.06,7.26,143.25,2696.76,6.27,62,312,9,34.43,90.43
